ID_REF	GSM873276	GSM873277	GSM873278	GSM873279	GSM873280	GSM873281	GSM873282	GSM873283	GSM873284	GSM873285	GSM873286	GSM873287	GSM873288	GSM873289	GSM873290	GSM873291	GSM873292	GSM873293	GSM873294	GSM873295	GSM873296	GSM873297	GSM873298	GSM873299	GSM873300	GSM873301	GSM873302	GSM873303	GSM873304	GSM873305	GSM873306	GSM873307	GSM873308	GSM873309	GSM873310	GSM873311	GSM873312	GSM873313	GSM873314	GSM873315	GSM873316	GSM873317	GSM873318	GSM873319	GSM873320	GSM873321	GSM873322	GSM873323	GSM873324	GSM873325	GSM873326	GSM873327	GSM873328	GSM873329	GSM873330	GSM873331	GSM873332	GSM873333	GSM873334	GSM873335	GSM873336	GSM873337	GSM873338
ILMN_1343291	15.4995	15.454	15.604	15.2042	15.3676	15.604	15.0732	15.604	15.604	15.604	15.604	15.604	15.604	15.604	15.604	15.3217	15.604	15.604	15.3217	15.2448	15.4208	15.454	15.2658	15.5351	15.454	15.2448	15.4208	15.3676	15.2658	15.3412	15.2237	15.454	15.3412	14.8468	14.5664	15.5351	15.6953	15.6953	15.6953	15.6311	15.5925	15.6953	15.6953	15.6953	15.6311	15.4432	15.4432	15.4205	15.483	15.4432	15.3376	14.9714	14.9565	6.37031	15.3592	15.4205	15.2169	14.1718	14.3646	14.4333	14.9145	14.9432	14.9145
ILMN_1343295	13.5282	13.8069	13.5797	13.561	13.4277	13.4693	13.3186	13.2219	13.2254	13.0866	13.1324	13.0366	12.9737	12.7885	13.3673	13.4189	12.9086	13.4564	12.9796	13.0476	12.938	13.536	13.0024	13.1097	12.9259	12.7268	13.0366	13.4277	13.1227	13.1795	13.4524	13.4795	13.6528	13.5482	14.0758	13.7023	12.3908	12.6877	12.3167	11.7512	11.6971	11.5603	12.929	12.8464	12.87	13.8838	13.9448	14.0055	13.9537	13.9311	13.9604	13.5324	13.3896	13.9671	13.4873	13.343	13.4424	13.2152	13.1666	13.2378	13.2152	13.1863	13.1376
ILMN_1651199	6.7394	6.99508	6.89129	6.95504	6.73014	6.81511	6.88771	6.68752	6.98146	6.89349	6.7152	6.85216	7.07067	6.86278	6.86353	6.8874	6.7918	6.90941	6.92164	6.83363	6.89772	6.96449	6.85055	6.8544	6.93824	6.78938	6.84348	7.09164	6.85278	6.7478	6.82175	6.95389	7.0996	6.8638	6.85294	6.95208	6.47701	6.52842	6.56559	6.51938	6.58076	6.57382	6.62506	6.47861	6.53107	6.38528	6.36266	6.76764	6.82817	6.38798	6.37687	6.34266	6.38643	6.37031	6.32775	6.80325	6.37681	6.36625	6.40507	6.88085	6.77697	6.3689	6.39494
ILMN_1651209	7.04935	7.03753	7.04918	6.81545	6.94685	6.86741	6.89826	7.19418	6.80511	6.87145	7.08239	7.03274	7.08555	7.03697	6.90201	6.85593	6.89789	7.21994	6.82201	6.79455	6.9421	6.9902	6.7273	7.00578	7.10785	6.87997	6.74864	6.8191	6.84668	6.97136	6.92315	7.1924	7.00679	7.03632	7.10975	7.02113	6.56033	6.51615	6.73027	6.51427	6.32733	6.50941	6.7459	6.4281	6.41718	6.97319	7.17	6.9558	7.01193	7.00132	6.95395	6.83412	6.81528	6.37031	6.8619	6.80787	6.8005	6.77113	6.32694	7.02341	6.41521	6.77262	6.3928
ILMN_1651210	6.9067	7.03783	6.81391	6.69485	6.78991	6.9141	6.7454	7.00521	6.88072	6.8534	6.89009	6.84334	6.81454	6.87798	6.98851	6.79984	6.88728	6.81339	6.81547	6.75214	6.82755	6.88849	6.86098	6.91921	6.87212	6.99844	6.87053	7.06528	6.92907	6.89205	6.80915	6.72855	6.86259	6.85632	6.80393	6.83405	6.43465	6.51726	6.67587	6.43306	6.52805	6.47747	6.56745	6.48019	6.55863	6.8116	6.76635	6.38072	6.83347	6.41283	6.77217	6.39021	6.77397	6.37031	6.3052	6.39198	6.77762	6.40021	6.40257	6.24222	6.27707	6.38634	6.36478
ILMN_1651221	7.05167	6.83126	6.84126	7.1835	7.04858	6.97396	6.87174	6.95456	6.78014	6.96264	6.8926	6.75399	6.94825	6.78033	6.898	7.12243	6.90291	7.01541	6.91463	6.98694	6.94955	6.95704	6.82054	7.02645	6.96475	6.77196	6.92747	6.99888	7.07137	6.86714	6.97142	7.02886	6.68586	6.88585	6.97001	6.70835	6.47617	6.66084	6.6935	6.53598	6.54231	6.43275	6.52705	6.4563	6.57121	6.82959	6.86604	6.86202	6.78832	6.89407	6.42239	6.95344	6.39657	6.80224	6.7917	6.31348	6.36993	6.38642	6.42045	6.79122	6.38308	6.79589	6.9882
ILMN_1651228	12.793	11.7256	11.9078	12.9259	12.8465	13.3078	12.9907	10.6354	13.3834	12.6209	12.8901	12.9022	11.5246	12.8806	13.2512	11.3209	11.9542	10.7351	11.9873	12.9528	12.8465	11.449	12.3471	11.1935	12.5294	12.7817	12.8142	12.0962	12.1998	12.801	12.3613	10.9094	12.8167	12.7268	13.2432	11.9962	10.6744	12.4379	12.4407	12.5996	12.3345	12.4688	12.1076	13.0034	12.6324	12.2884	12.0787	12.0317	12.0883	12.196	12.1021	12.831	12.7529	6.37031	12.903	13.2514	12.7792	12.9677	12.7529	12.7865	13.0821	12.8534	13.0533
ILMN_1651229	7.66152	7.93697	7.44986	7.74553	7.74466	7.81009	7.7333	7.41274	7.50642	7.93877	7.66521	7.46543	7.65859	7.68994	7.861	7.66521	7.86431	8.00342	7.92508	7.84832	7.82051	8.1568	7.59504	7.91277	7.87794	7.96598	7.92681	8.36322	7.9997	7.96087	8.52999	8.16812	8.42443	7.96209	8.40672	7.87205	7.88918	8.3259	8.18637	7.93958	7.71383	7.59778	7.6168	7.56991	8.0037	8.36591	8.46067	8.66778	8.30696	8.48122	8.5527	9.07828	9.17112	9.96217	8.80367	8.54234	8.62942	9.56381	9.42875	9.53431	9.29412	9.29993	9.37921
ILMN_1651230	6.85606	6.79321	6.89122	6.95359	6.87837	6.98899	6.72047	7.03807	6.72173	6.88744	7.08326	7.03003	6.85714	6.93699	6.80132	6.93787	6.89578	6.93951	6.94343	6.77269	6.78456	6.95962	6.98803	6.9122	6.94057	6.80237	7.06272	6.91557	6.85894	6.83668	6.96067	7.05219	6.83175	6.87172	6.82481	6.81645	6.6121	6.36676	6.54308	6.40942	6.68258	6.44256	6.48969	6.5881	6.2961	6.92121	6.35113	6.78743	6.36262	6.35466	6.41417	6.85265	6.80274	6.37031	6.76719	6.82468	6.37009	6.30174	6.4077	6.39222	6.41537	6.81615	6.78274
ILMN_1651232	7.08134	7.02747	7.17217	6.97488	7.16225	7.1635	7.22312	7.18674	7.13234	7.19556	7.33331	7.23027	7.60158	7.68827	7.18219	7.31567	7.31986	7.57427	7.06722	7.11886	7.19841	7.09101	7.06343	7.14582	7.13435	7.04013	7.12341	7.05483	7.24816	7.04345	7.06195	6.9403	7.26945	7.08049	6.95088	7.09032	6.82562	6.62741	6.59002	6.76367	6.70922	6.84921	6.8696	6.55733	7.16988	6.97019	6.98954	6.97141	6.96778	6.89347	6.84446	6.8741	6.95334	6.80483	6.85835	6.95344	6.40106	6.79013	7.13834	6.8982	7.04057	6.97604	6.84563
